Project ID,Project Type,Samples,Date Received,Date Completed
20-001,Capillary+Cleanup,3,17/01/2020,17/01/2020
20-002,Capillary,6,10/01/2020,01/Oct/20
20-004,PCR-Seq,20,16/01/2020,16/01/2020
20-007,Extract2Seq,2,27/01/2020,27/01/2020
20-008,Capillary+Cleanup,32,31/01/2020,31/01/2020
20-009,Capillary,20,31/01/2020,31/01/2020
20-010,Blood DNA Extraction,70,31/01/2020,31/Jan/20
20-011,Capillary,5,21/01/2020,21/01/2020
20-014,Capillary,8,31/01/2020,31/01/2020
20-015,Extract2Seq,1,31/01/2020,31/01/2020
20-017,Capillary,8,14/02/2020,14/02/2020
20-018,Capillary+Cleanup,20,05/02/2020,02/May/20
20-019,Extract2Seq,2,07/02/2020,02/Jul/20
20-020,Blood DNA Extraction,6,11/02/2020,02/Nov/20
20-021,Capillary+Cleanup,24,14/02/2020,14/02/2020
20-022,Capillary,24,19/02/2020,19/02/2020
20-023,Capillary,24,14/02/2020,14/02/2020
20-024,Extract2Seq,2,04/03/2020,03/Apr/20
20-025,Capillary,9,28/02/2020,28/02/2020
20-028,Extract2Seq,19,19/02/2020,19/02/2020
20-029,Extract2Seq,3,19/02/2020,19/02/2020
20-031,Capillary,15,02/03/2020,03/Feb/20
20-032,capillary,3,02/04/2020,04/Feb/20
20-033,Capillary,4,02/04/2020,04/Feb/20
20-035,Blood DNA Extraction,5,28/02/2020,28/02/2020
20-036,Extract2Seq,1,09/03/2020,03/Sep/20
20-037,Capillary,10,24/02/2020,24/02/2020
20-038,Extract2Seq,7,02/03/2020,03/Feb/20
20-039,Extract2Seq,2,28/02/2020,28/02/2020
20-040,Extract2Seq,8,26/02/2020,26/02/2020
20-042,Extract2Seq,2,05/03/2020,03/May/20
20-043,Blood DNA Extraction,24,03/03/2020,03/Mar/20
20-044,Extract2Seq,1,04/03/2020,03/Apr/20
20-046,Capillary,73,19/03/2020,19/03/2020
20-047,Extract2Seq,4,19/03/2020,19/03/2020
20-049,Extract2Seq,1,09/03/2020,03/Sep/20
20-050,capillary,30,19/03/2020,19/03/2020
20-051,Capillary+Cleanup,16,06/07/2020,07/Jun/20
20-053,Capillary+Cleanup,12,31/01/2020,31/01/2020
20-057,AGE,1,01/07/2020,07/Jan/20
20-059,Extract2Seq,2,17/07/2020,17/07/2020
20-060,Extract2Seq,5,21/07/2020,21/07/2020
20-062,Capillary,2,30/07/2020,30/07/2020
20-064,Extract2Sequence,18,24/08/2020,24/08/2020
20-065,Capillary,17,01/09/2020,09/Jan/04
20-066,Capillary,4,30/10/2020,30/10/2020
