Project ID,Project Type,Samples,Date Received,Date Completed
23-001,Extract2seq,4,2023-01-04,2023-01-06
23-002,Extract2seq,2,2023-01-04,2023-01-23
23-003,Extract2seq,3,2023-01-19,2023-05-02
23-004,Extract2seq,6,2023-01-12,2023-02-13
23-005,Extract2seq,3,2023-01-30,2023-05-15
23-006,Extract2seq,1,2023-01-26,2023-05-02
23-007,Extract2seq,3,2023-02-02,2023-05-02
23-008,Extract2seq,3,2023-02-02,2023-05-02
23-009,Extract2seq,1,2023-02-03,2023-05-19
23-017,Extract2seq,4,2023-02-07,2023-05-17
23-018,Extract2seq,2,2023-02-07,2023-05-02
23-011,Capillary+Cleanup,16,2023-02-10,2023-05-10
23-016,Capillary+Cleanup,73,2023-02-10,2023-05-04
23-035,Extract2seq,2,2023-02-13,2023-05-02
23-015,Extract2seq,4,2023-02-14,2023-05-03
23-029,Extract2seq,34,2023-02-22,2023-05-11
23-030,Extract2seq,1,2023-02-22,2023-05-02
23-022,Extract2seq,3,2023-02-23,2023-05-02
23-024,Extract2seq,7,2023-02-23,2023-05-02
23-023,Extract2seq,12,2023-02-23,2023-05-02
23-025,Capillary+Cleanup,55,2023-02-23,Done
23-031,Capillary+Cleanup,18,2023-03-09,2023-05-02
23-021,Extract2seq,3,2023-03-16,2023-05-17
23-028,Extract2seq,26,2023-03-23,1st - 2023-05-17; 2nd - 2023-06-26; 3rd - 
,,21,2023-05-05,
,,27,2023-07-19,
23-033,Extract2seq,30,2023-03-16,2023-04-15
23-036,Extract2seq,8,2023-03-23,2023-05-02
23-037,Capillary+Cleanup,9,2023-03-29,2023-05-19
23-038,Extract2seq,1,2023-03-29,2023-05-19
23-041,Extraction,10,2023-04-13,2023-04-13
23-042,Extract2seq,3,2023-04-07,Waiting for client response
23-044,PCR2seq,5,2023-04-28,2023-05-15
23-046,Extraction,43,2023-04-13,2023-05-05
23-047,Capseq,2,2023-04-13,2023-05-12
23-058,Extract2seq,19,2023-04-24,2023-05-26
23-055,Extract2seq,204,2023-04-28,2023-05-11
23-049,Extract2seq,9,2023-04-28,2023-05-11
23-050,Extract2seq,3,2023-04-28,2023-05-11
23-048,Extract2seq,16,2023-05-11,2023-05-22
23-054,Capillary+Cleanup,11,2023-05-16,2023-05-19
23-051,Extract2seq,10,2023-05-09,2023-05-11
23-052,Extract2seq,7,2023-05-09,2023-06-06
23-056,Extraction,43,2023-05-05,2023-05-23
23-057,Extraction,19,2023-05-16,2023-05-23
23-061,Extract2seq,4,2023-05-16,2023-06-19
23-064,Extract2seq,2,2023-05-18,2023-06-01
23-066,Capillary+Cleanup,45,2023-05-25,2023-06-07
23-076,Extract2seq,3,2023-05-29,2023-06-21
23-062,Capseq,32,2023-05-31,2023-06-10
23-053,Extract2seq,94,2023-06-03,2023-06-13
23-063,Capseq,2,2023-06-31,2023-05-31
23-065,Extraction,2,2023-06-05,2023-06-06
23-067,Extract2seq,47,2023-06-09,2023-08-02
23-069,Extract2seq,3,2023-06-08,2023-06-22
23-070,Extraction,8,2023-06-13,2023-06-14
23-071,Extraction,2,2023-06-14,2023-06-26
23-072,Extract2seq,9,2023-06-07,2023-06-26
23-073,Extract2seq,13,2023-06-12,2023-06-20
23-074,Capillary+Cleanup,5,2023-06-13,2023-06-16
23-075,Extraction,2,2023-06-19,2023-06-26
23-077,Extraction,6,2023-06-29,2023-07-05
23-085,Extract2seq,2,2023-06-30,2023-07-04
23-079,Extraction,6,2023-07-07,2023-07-10
23-081,Capillary+Cleanup,10,2023-07-07,2023-07-17
23-083,Extract2seq,8,2023-07-14,2023-08-08
23-084,Capseq,3,2023-07-21,2023-08-07
23-086,Capillary+Cleanup,38,2023-07-24,2023-08-04
23-087,Extract2seq,70,2023-08-02,
23-088,Capillary+Cleanup,64,2023-08-04,2023-08-18
23-090,Capillary+Cleanup,38,2023-08-09,2023-08-24
23-092,Extract2seq,1,2023-08-08,2023-08-15
23-093,Extract2seq,2,2023-08-08,2023-08-15
23-095,Extraction,28,2023-08-14,2023-08-20
23-096,Extract2seq,1,2023-08-15,
23-097,Extraction,2,2023-08-22,2023-08-23
23-101,Extract2seq,9,2023-09-08,2023-10-27
23-104,Capseq,4,2023-09-28,2023-09-29
23-107,Extract2seq,74,2023-09-29,2023-10-24
23-108,Extract2seq,1,2023-10-02,2023-10-23
23-109,Extraction,10,2023-10-03,2023-10-26
23-110,Extract2seq,1,2023-10-05,2023-10-26
23-111,Extract2seq,1,2023-10-18,2023-10-27
23-112,Extraction,4,2023-10-10,
23-117,Extract2seq,1,2023-10-10,
23-113,Extract2seq,6,2023-10-04,2023-10-27
23-114,Extract2seq,16,2023-10-12,2023-11-22
23-115,Extraction,140,2023-11-08,2023-11-09
23-119,Capillary+Cleanup,11,2023-11-21,2023-11-28
23-120,Extraction,2,2023-11-24,2023-11-24
23-121,PCR2seq,20,2023-12-27,
23-122,Extract2seq,21,12-01-2023,
