Project ID,Project Type,# of samples,Sample type,Date Received,Date Completed
24-001,PCR2Seq,20,unpurified PCR,2024-01-05,2024-01-10
24-031,Capillary+Cleanup,4,unpurified PCR,2024-01-05,2024-02-22
24-032,Capillary+Cleanup,12,unpurified PCR,2024-01-17,2024-01-23
24-005,Extract2seq,3,fungi,2024-01-19,2024-02-14*
24-006,Extract2seq,7,bacteria,2024-01-11,2024-01-22
24-007,Capillary+Cleanup,72,unpurified PCR,2024-01-23,2024-01-25
24-008,Extract2seq,5,bacteria,2024-01-25,2024-02-07
24-009,Capillary+Cleanup,74,unpurified PCR,2024-02-01,2024-02-07
24-010,Extract2seq,5,bacteria,2024-02-07,2024-02-20
24-011,Extract2seq,42,Tissue,2024-02-07,2024-02-20
24-033,Extract2seq,9,bacteria,2024-02-07,2024-02-29
24-034,Extraction,6,,2024-02-08,2024-02-12
24-012,Extract2seq,3,"nematode
plant",2024-02-14,2024-02-23
24-014,Extract2seq,4,bacteria,2024-02-14,2024-02-29
24-015,Capillary+Cleanup,4,unpurified PCR,2024-02-15,2024-02-20
24-016,PCR2seq,8,DNA,2024-02-16,2024-02-20
24-017,Extract2seq,17,bacteria,2024-02-19,2024-02-29
24-018,Capillary+Cleanup,12,unpurified PCR,2024-02-22,2024-02-27*
24-019,Capillary+Cleanup,22,unpurified PCR,2024-02-22,2024-02-29
24-020,Capillary+Cleanup,11,unpurified PCR,2024-02-23,2024-02-29
24-021,Capillary+Cleanup,3,unpurified PCR,2024-02-28,2024-03-08
24-022,Extract2seq,11,bacteria,2024-02-29,2024-03-08
24-023,Capillary+Cleanup,1,unpurified PCR,2024-02-29,2024-03-08
24-024,Extract2seq,26,bacteria,2024-03-01,2024-03-08
24-025,Extract2seq,9,bacteria,2024-03-04,2024-03-08
24-026,Extract2seq,5,"bacteria
fungi",2024-03-05,2024-03-15
24-027,Extract2seq,2,bacteria,2024-03-06,2024-03-15
24-028,Extract2seq,4,fungi,2024-03-07,2024-03-15
24-029,Extract2seq,2,bacteria,2024-03-08,2024-03-15
24-030,Capseq,26,purified PCR,2024-03-08,2024-03-15
24-026a,Extract2seq,1,bacteria,2024-03-08,2024-04-03*
24-038,Extraction,7,,2024-03-12,2024-03-12
24-039,Capseq,1,purified PCR,2024-03-13,2024-03-15
24-040,Extract2seq,15,bacteria,2024-03-08,03/0/2024
24-041,Extract2seq,3,fungi,2024-03-14,2024-04-03
24-042,Capseq,5,purified PCR,2024-03-14,2024-03-21
24-043,PCR2seq,5,bacteria,2024-03-18,2024-03-21
24-044,Capillary+Cleanup,38,unpurified PCR,2024-03-18,2024-03-21
24-045,Extract2seq,8,bacteria,2024-03-20,2024-04-03
24-046,Extract2seq,3,plant,2024-03-20,2024-04-24
24-047,Extract2seq,1,bacteria,2024-03-20,2024-04-03
24-048,Capseq,4,purified PCR,2024-03-21,2024-04-03
24-049,Extract2seq,5,bacteria,2024-03-21,2024-04-03
24-050,Capseq,11,purified PCR,2024-03-25,2024-04-03
24-051,Capseq,18,purified PCR,2024-04-02,2024-04-11
24-052,Extract2seq,3,"nematode
plant",2024-04-03,2024-04-24
24-055,Extract2seq,3,bacteria,2023-02-10,-
24-056,Extract2seq,3,fungi,2024-04-12,2024-05-02
24-057,PCR2seq,3,DNA,2024-04-15,2024-04-17
24-058,Extract2seq,2,bacteria,2024-04-15,2024-05-03
24-059,Extract2seq,2,bacteria,2024-04-15,2024-04-23
24-060,Extract2seq,44,Tissue,2024-04-16,2024-05-02
24-061,Extraction,2,human whole blood,2024-04-11,2024-04-17
24-062,Extraction,5,human whole blood,2024-04-11,2024-04-17
24-063,PCR2seq,3,DNA,2024-04-22,2024-04-22
HKG,Extract2seq,12,human whole blood,2024-04-03,2024-05-10
24-064,Extraction,9,human whole blood,2024-04-25,2024-04-26
24-063,Extract2seq,3,fungi,2024-04-29,
24-065,Capillary+Cleanup,97,unpurified PCR,2024-05-02,2024-05-17
24-067,Gel Electrophoresis,12,PCR Product,2024-05-08,2024-05-08
24-068,Extract2seq,3,bacteria,2024-05-09,2024-05-24
24-069,Gel Electrophoresis,5,plant,2024-05-08,2024-05-09
24-070,Capillary+Cleanup,5,unpurified PCR,2024-05-15,2024-05-24
24-071,Capillary+Cleanup,3,unpurified PCR,2024-05-20,2024-05-20
24-072,Extract2seq,2,plant,2024-05-20,2024-05-24
24-073,Extract2seq,11,bacteria,2024-05-10,2024-05-30
24-074,Extraction,3,whole blood,2024-05-20,2024-05-20
24-075,Gel Electrophoresis,6,unpurified PCR,2024-05-21,2024-05-21
24-076,Gel Electrophoresis,12,PCR Product,2024-05-21,2024-05-21
24-077,Extract2seq,2,bacteria,2024-05-22,2024-06-14
