Entity,Code,Day,Cases
Philippines,PHL,2021-01-01,13.748661
Philippines,PHL,2021-01-02,13.748661
Philippines,PHL,2021-01-03,11.029766
Philippines,PHL,2021-01-04,11.029766
Philippines,PHL,2021-01-05,11.029766
Philippines,PHL,2021-01-06,11.029766
Philippines,PHL,2021-01-07,11.029766
Philippines,PHL,2021-01-08,11.029766
Philippines,PHL,2021-01-09,11.029766
Philippines,PHL,2021-01-10,12.387333
Philippines,PHL,2021-01-11,12.387333
Philippines,PHL,2021-01-12,12.387333
Philippines,PHL,2021-01-13,12.387333
Philippines,PHL,2021-01-14,12.387333
Philippines,PHL,2021-01-15,12.387333
Philippines,PHL,2021-01-16,12.387333
Philippines,PHL,2021-01-17,16.156683
Philippines,PHL,2021-01-18,16.156683
Philippines,PHL,2021-01-19,16.156683
Philippines,PHL,2021-01-20,16.156683
Philippines,PHL,2021-01-21,16.156683
Philippines,PHL,2021-01-22,16.156683
Philippines,PHL,2021-01-23,16.156683
Philippines,PHL,2021-01-24,16.353487
Philippines,PHL,2021-01-25,16.353487
Philippines,PHL,2021-01-26,16.353487
Philippines,PHL,2021-01-27,16.353487
Philippines,PHL,2021-01-28,16.353487
Philippines,PHL,2021-01-29,16.353487
Philippines,PHL,2021-01-30,16.353487
Philippines,PHL,2021-01-31,15.036032
Philippines,PHL,2021-02-01,15.036032
Philippines,PHL,2021-02-02,15.036032
Philippines,PHL,2021-02-03,15.036032
Philippines,PHL,2021-02-04,15.036032
Philippines,PHL,2021-02-05,15.036032
Philippines,PHL,2021-02-06,15.036032
Philippines,PHL,2021-02-07,14.65496
Philippines,PHL,2021-02-08,14.65496
Philippines,PHL,2021-02-09,14.65496
Philippines,PHL,2021-02-10,14.65496
Philippines,PHL,2021-02-11,14.65496
Philippines,PHL,2021-02-12,14.65496
Philippines,PHL,2021-02-13,14.65496
Philippines,PHL,2021-02-14,14.879341
Philippines,PHL,2021-02-15,14.879341
Philippines,PHL,2021-02-16,14.879341
Philippines,PHL,2021-02-17,14.879341
Philippines,PHL,2021-02-18,14.879341
Philippines,PHL,2021-02-19,14.879341
Philippines,PHL,2021-02-20,14.879341
Philippines,PHL,2021-02-21,15.0335245
Philippines,PHL,2021-02-22,15.0335245
Philippines,PHL,2021-02-23,15.0335245
Philippines,PHL,2021-02-24,15.0335245
Philippines,PHL,2021-02-25,15.0335245
Philippines,PHL,2021-02-26,15.0335245
Philippines,PHL,2021-02-27,15.0335245
Philippines,PHL,2021-02-28,19.023495
Philippines,PHL,2021-03-01,19.023495
Philippines,PHL,2021-03-02,19.023495
Philippines,PHL,2021-03-03,19.023495
Philippines,PHL,2021-03-04,19.023495
Philippines,PHL,2021-03-05,19.023495
Philippines,PHL,2021-03-06,19.023495
Philippines,PHL,2021-03-07,22.64242
Philippines,PHL,2021-03-08,22.64242
Philippines,PHL,2021-03-09,22.64242
Philippines,PHL,2021-03-10,22.64242
